
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.0
--- Info ---
User
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_0_PESImage/Si0006_EDCs_EF.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.11
X Max	4.89
X Step	0.01
Ek Offset	0.0
Y Min	-0.626041
Y Max	0.605373
Y Step	0.001774
Ang or Posi Offset	0.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	16.89
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.576983 0.521978 0.466972 0.411967 0.356961 0.3019555 0.24695 0.191944 0.136939 0.081933 0.026928 -0.028078 -0.083083 -0.138089 -0.193094 -0.2481 -0.303105 -0.358111 -0.4131165 -0.468122 -0.523128 -0.578133
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0

[SpecTaroscoPy — Second Derivative]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.0
--- info ---
User	
File	Si0006_EDCs_EF.txt
Smoothing Method	Savitzky-Golay
Smoothing Params	2.0 21.0 21.0
Intensity Offset	

DATA:
EF_Si0006_EDCs2Der	Si0006_EDCs_0.5772Der	Si0006_EDCs_0.5222Der	Si0006_EDCs_0.4672Der	Si0006_EDCs_0.4122Der	Si0006_EDCs_0.3572Der	Si0006_EDCs_0.3022Der	Si0006_EDCs_0.2472Der	Si0006_EDCs_0.1922Der	Si0006_EDCs_0.1372Der	Si0006_EDCs_0.0822Der	Si0006_EDCs_0.0272Der	Si0006_EDCs_-0.0282Der	Si0006_EDCs_-0.0832Der	Si0006_EDCs_-0.1382Der	Si0006_EDCs_-0.1932Der	Si0006_EDCs_-0.2482Der	Si0006_EDCs_-0.3032Der	Si0006_EDCs_-0.3582Der	Si0006_EDCs_-0.4132Der	Si0006_EDCs_-0.4682Der	Si0006_EDCs_-0.5232Der	Si0006_EDCs_-0.5782Der
4.89	2.4801035231629675e-20	0.07741551588324569	-0.027324269287873904	0.01025827014694869	-0.003394963053324318	-0.017757945315509005	-0.00807595285317575	0.01226254544008043	0.013697473860020182	0.0732505248353732	0.0027266632597502394	-0.04883720566431293	-0.06350639035747463	-0.024225876247953693	0.05977247776911554	-0.03372455370475791	-0.04726503584754482	0.13326062592221888	0.05824912105339308	0.06790041625097842	0.0003506899858258805	8.537630772259263e-12
4.88	4.5218464745649945e-20	0.12067140433854462	-0.04077479840060505	0.016419039955792414	-0.0033408784059361096	-0.02728150515139305	-0.012334635644350556	0.019769481921997567	0.021654968869739832	0.11357895963121223	0.0047484378563638074	-0.07555794917661274	-0.09825804347741496	-0.03737762970055769	0.09218652175584907	-0.05084247787024765	-0.07102573843710047	0.2069490450436433	0.08992222125587546	0.1064589776491971	0.0008604278009711752	1.3206904162466875e-11
4.87	7.406130259877275e-20	0.1721329759650061	-0.05294555884273677	0.024628117013037354	0.0007613560060519831	-0.03773263720034947	-0.016824773654747105	0.030098459788007403	0.031748369403288734	0.16020500746355992	0.008169049816387997	-0.10612476154994965	-0.13803521080487258	-0.052171438704021966	0.12869166588581038	-0.06759450353061425	-0.09368282376914294	0.29294967257078497	0.12570176036533098	0.1535902363362851	0.0021172551635293413	1.803109894399811e-11
4.86	6.294042584154384e-20	0.18652254093743892	-0.04859241492658839	0.028646612216107314	0.009910400555526166	-0.038789640166839945	-0.01682087463527182	0.035850086594734876	0.0358035596820514	0.17030561744493866	0.011105313568350539	-0.11212994865675796	-0.14593028051282886	-0.054485268277176147	0.1347673424799325	-0.06501977604210651	-0.0885930754701576	0.3135258338053575	0.1317227281352018	0.1692072318871567	0.003760079480570777	1.6726929475492407e-11
4.85	-2.982874712699491e-20	0.1964056838180568	-0.04052363988250818	0.032406281729208786	0.021056234888874314	-0.03810843965032973	-0.01579288325496009	0.0417413073599846	0.039315371585502135	0.17488127528719133	0.014262245269975438	-0.11443449643323333	-0.14910741360290558	-0.05466787778664184	0.1363020260982637	-0.058614753299025324	-0.07745512318027181	0.3251610207429394	0.13296237219512363	0.18129007186010426	0.005679289628224504	1.1548618887440997e-11
4.84	-2.452328827495255e-19	0.20090154461195908	-0.028551857037342643	0.03569090393625629	0.03391340243214813	-0.035424489276778104	-0.013568803718328581	0.04760547810354865	0.04205824202142594	0.1729078738731289	0.01751641594398734	-0.11241904497248356	-0.14680200156615797	-0.05235701880621946	0.13270001276760013	-0.048159547793630963	-0.05979320502459018	0.3262525516036874	0.1286818681516877	0.18889852883881986	0.007823274119186596	1.2540532575643092e-12
4.83	-5.768022054493271e-19	0.19923299661929406	-0.012635610508908712	0.03826521451469489	0.04806259489157583	-0.030518288961758344	-0.009999141252109212	0.05324444230160452	0.04379894961172681	0.1634753030156162	0.02072660676412852	-0.10554256246282989	-0.13835664405615944	-0.04723596020187415	0.12349640455900612	-0.033577703055726715	-0.035324301782821976	0.3153959076074102	0.11827083819187578	0.19113624822534803	0.010121406041108338	-1.5172018304336794e-11
4.82	-9.135099773392434e-19	0.19075159141346631	0.007110154937777224	0.039881670717221596	0.06295894353070253	-0.02322749011281644	-0.0049658934163971935	0.058428574691276935	0.044302703354560435	0.1458236571288012	0.02374037640211668	-0.09336055128250109	-0.12324286041285859	-0.03904744456767162	0.10837430698623507	-0.01494321798216447	-0.0039770364206788145	0.2914300225436932	0.10127652802057696	0.18717923282785875	0.012485761402085016	-3.8231624625819054e-11
4.81	-9.926812872754963e-19	0.17495493105548832	0.030410992219316313	0.04028840183059401	0.0779477214081794	-0.013457050717278207	0.0016091188647351373	0.0628977862079978	0.04333961942177211	0.11937364539232931	0.026401393741338097	-0.07553890465663926	-0.10107632146289802	-0.027605687613885266	0.08717424142332675	0.007520464183812692	0.03409818891978489	0.2534692405938017	0.07742617119131978	0.17630095907412624	0.014813877479360471	-6.757093908700622e-11
4.8	-4.073833890063878e-19	0.1514951263290527	0.056837696633323276	0.03923803029147166	0.09228697749932735	-0.0011868082925161616	0.00975707089514799	0.06636360590735535	0.040691352647655776	0.08374955124216399	0.028556988491544644	-0.05186276446184479	-0.07162475192342299	-0.012805808549273934	0.05989505767593073	0.03344969227885031	0.07852822023508566	0.20091985987994576	0.046641001761514644	0.1578926841232402	0.01699243685964813	-1.0160934754931136e-10
