
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.0
--- Info ---
User
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_0_PESImage/Si0006_EDCs_EF.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.11
X Max	4.89
X Step	0.01
Ek Offset	0.0
Y Min	-0.626041
Y Max	0.605373
Y Step	0.001774
Ang or Posi Offset	0.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	16.89
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.576983 0.521978 0.466972 0.411967 0.356961 0.3019555 0.24695 0.191944 0.136939 0.081933 0.026928 -0.028078 -0.083083 -0.138089 -0.193094 -0.2481 -0.303105 -0.358111 -0.4131165 -0.468122 -0.523128 -0.578133
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0

[SpecTaroscoPy — Second Derivative]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.0
--- info ---
User	
File	Si0006_EDCs_EF.txt
Smoothing Method	Savitzky-Golay
Smoothing Params	2.0 21.0 21.0
Intensity Offset	
Detect Peak	1
Order (Detect Peak)	40
X Min	
X Max	

DATA:
yc_Si0006_EDCs_EF	x_Si0006_EDCs_EF_peak	Si0006_EDCs_EF_peak
0.576983	3.21	0.0
0.576983	2.67	59.06804732372355
0.576983	1.68	218.44771010142716
0.576983	0.99	83.8321763013034
0.576983	0.29	63.41899724664336
0.521978	4.36	357.30518465847825
0.521978	3.62	500.2761271401725
0.521978	2.94	861.9365879623668
0.521978	1.76	517.6166611665902
0.521978	0.89	132.05072024239948
0.521978	0.26	75.6533231089615
0.466972	4.87	618.7231134358069
0.466972	3.98	861.5298687038824
0.466972	2.82	923.7701177045836
0.466972	1.77	592.3403461413774
0.466972	0.92	156.41503194556947
0.466972	0.28	90.79019528084537
0.411967	4.64	639.3583920958444
0.411967	3.7	894.3979648632017
0.411967	2.67	988.6411643281897
0.411967	1.77	656.0335675941263
0.411967	0.88	165.09742193298055
0.411967	0.28	77.62631529414783
0.356961	4.18	708.7149344352689
0.356961	3.48	959.5547719918591
0.356961	2.49	1060.2547995794123
0.356961	1.93	827.144734414273
0.356961	0.83	148.08131411917108
0.356961	0.29	77.80283661790605
0.3019555	4.86	618.1977066659495
0.3019555	4.2	702.7569321474583
0.3019555	3.02	1028.9509842016716
0.3019555	2.33	1225.4225339996872
0.3019555	1.01	271.4108731180269
0.3019555	0.34	94.08256742317492
0.24695	4.87	645.1542892579587
0.24695	4.31	709.2153332626656
0.24695	3.86	801.8696077109104
0.24695	3.28	804.878348476349
0.24695	2.74	924.7877400168607
0.24695	2.18	1444.4843784375942
0.24695	0.94	271.40315102825156
0.24695	0.3	57.592907353638445
0.191944	3.96	817.9292424720783
0.191944	2.98	798.885929526272
0.191944	2.09	1569.3871280295398
0.191944	0.94	277.7239259126931
0.191944	0.27	66.566947350287
0.136939	4.12	770.6855038075754
0.136939	3.61	816.188232898226
0.136939	2.03	1655.0784696534208
0.136939	0.92	273.5658720185417
0.136939	0.36	83.13666361942468
0.081933	4.67	642.9117490626405
0.081933	4.01	807.3873461830325
0.081933	3.0	753.967798035569
0.081933	2.01	1580.148595094477
0.081933	0.96	309.8348469742293
0.081933	0.38	99.49085987094878
0.026928	3.94	769.6807447144814
0.026928	2.91	735.8464850736327
0.026928	2.02	1389.9057607716006
0.026928	0.91	296.8815838250204
0.026928	0.36	94.10306955123407
-0.028078	4.85	612.4887738869847
-0.028078	3.83	749.8980421414503
-0.028078	3.18	733.4049847341016
-0.028078	2.05	1250.0484970505893
-0.028078	0.93	264.35576025428446
-0.028078	0.31	67.66264118100126
-0.083083	4.85	651.1760992116106
-0.083083	3.85	745.314655804021
-0.083083	2.76	786.1634188876767
-0.083083	2.12	1078.355623538745
-0.083083	0.95	261.3046021686708
-0.083083	0.32	89.28413444321082
-0.138089	4.85	673.3523958167649
-0.138089	3.98	726.6587907411929
-0.138089	3.15	867.2394563244246
-0.138089	2.19	923.2231659269977
-0.138089	1.0	279.47628248914106
-0.138089	0.32	116.95953030751136
-0.193094	4.71	625.9501360473978
-0.193094	4.13	731.0923556143255
-0.193094	3.55	813.6076003232998
-0.193094	1.85	766.8462371350769
-0.193094	1.04	230.56568760670805
-0.193094	0.33	113.61477421555927
-0.2481	4.87	702.6295504370544
-0.2481	4.04	857.4318752822128
-0.2481	3.3	794.5773626346096
-0.2481	2.63	705.8687110595844
-0.2481	1.82	795.629263503035
-0.2481	0.89	201.84228448801926
-0.2481	0.26	119.65395268337262
-0.303105	4.42	786.7331131227772
-0.303105	3.5	770.0830640835363
-0.303105	2.8	785.4773057941928
-0.303105	1.82	706.5645421069618
-0.303105	0.94	235.64443110878983
-0.303105	0.29	193.62325166530263
-0.358111	4.56	773.7033810192304
-0.358111	4.03	815.504168452882
-0.358111	2.88	716.3129822335009
-0.358111	1.86	726.698428505484
-0.358111	0.99	212.81661543295823
-0.358111	0.29	210.70174057027455
-0.4131165	4.7	761.3999677907061
-0.4131165	4.2	715.4684048643011
-0.4131165	3.62	727.8523235912771
-0.4131165	3.07	664.7699889336469
-0.4131165	2.52	693.8514569892391
-0.4131165	1.69	518.9968762763464
-0.4131165	0.92	193.18435754479455
-0.4131165	0.29	176.89159884287926
-0.468122	4.29	631.2580770419976
-0.468122	3.7	589.2980413121041
-0.468122	3.22	671.4362414946271
-0.468122	2.73	688.4560748665093
-0.468122	1.88	653.4721178356028
-0.468122	0.9	247.32744642260454
-0.468122	0.3	142.1927482980287
-0.523128	4.11	47.835383661349326
-0.523128	2.86	234.62491392207974
-0.523128	1.76	445.8202913754202
-0.523128	0.91	161.81738340945088
-0.523128	0.3	109.56363489197811
-0.578133	3.52	0.9601526461315182
-0.578133	2.94	1.0033355316666424
-0.578133	1.7	9.310981347385573
-0.578133	0.91	17.726241798133294
-0.578133	0.26	12.033718152023651
