
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.0
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_0_PESImage/Si0006_EDCs_EF.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.11
X Max	4.89
X Step	0.01
Ek Offset	0.0
Y Min	-0.626041
Y Max	0.605373
Y Step	0.001774
Ang or Posi Offset	0.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	16.89
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.576983 0.521978 0.466972 0.411967 0.356961 0.3019555 0.24695 0.191944 0.136939 0.081933 0.026928 -0.028078 -0.083083 -0.138089 -0.193094 -0.2481 -0.303105 -0.358111 -0.4131165 -0.468122 -0.523128 -0.578133
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0
 
DATA:
EF_Si0006_EDCs	Si0006_EDCs_0.577	Si0006_EDCs_0.522	Si0006_EDCs_0.467	Si0006_EDCs_0.412	Si0006_EDCs_0.357	Si0006_EDCs_0.302	Si0006_EDCs_0.247	Si0006_EDCs_0.192	Si0006_EDCs_0.137	Si0006_EDCs_0.082	Si0006_EDCs_0.027	Si0006_EDCs_-0.028	Si0006_EDCs_-0.083	Si0006_EDCs_-0.138	Si0006_EDCs_-0.193	Si0006_EDCs_-0.248	Si0006_EDCs_-0.303	Si0006_EDCs_-0.358	Si0006_EDCs_-0.413	Si0006_EDCs_-0.468	Si0006_EDCs_-0.523	Si0006_EDCs_-0.578
4.89	0.0	144.61585960387907	627.4645716065198	618.9686741370771	652.7114216102143	665.9513174248109	644.268813349828	633.311608603765	650.1424853618621	602.9567326299256	616.5022989688688	634.0416200422585	657.8174636002628	683.8963406223176	599.0193726648768	702.6577290532235	727.3422377578504	673.4107719782044	675.7436792574113	417.5921104245888	12.29397193786744	0.0
4.88	0.0	193.3287117164538	593.2958770055617	579.7128288481338	639.4741049919053	636.8171419869578	670.9873621737956	676.7308603621536	654.7898869895117	578.9497328625968	635.7681140311545	615.5582978176175	633.1910829806927	575.428583635203	572.4035824679419	596.6414522771277	679.0157043366108	719.2878408715272	699.1351714303262	437.030578497366	2.3784472862353065	0.0
4.87	0.0	153.6647460396127	618.7231134358069	617.6443713753961	684.1992037278123	642.7757804457067	645.1542892579587	659.5420421018066	620.3730274808286	587.4074659674658	630.078150997315	623.2992384385033	653.6649795434046	585.7385940282434	589.9263422540639	702.6295504370544	716.8159979119602	663.4979983765099	715.2586825025047	416.9918183230051	8.787793751075442	0.0
4.86	0.0	148.3645749631559	636.0951824267822	662.8363144048178	660.9014614646686	618.1977066659495	648.1151894296316	626.1079688498581	681.0915228331506	655.6945075289976	587.7380393044463	623.0199787593294	623.1767342960676	611.7058788404072	626.1627762249253	669.7708762379716	622.8071676057494	665.694694113914	722.4868685803111	391.1087645638769	5.313417123684779	0.0
4.85	0.0	181.38380948259143	548.0526889621408	588.0882582173493	608.3517837127696	666.5149909198691	628.3117336011686	668.7826314661709	682.441802375485	639.5839394989487	626.2862737888453	612.4887738869847	651.1760992116106	673.3523958167649	645.2282576324137	647.6993458088732	642.8647050586511	692.3454355665782	759.2440030850037	413.17542558340494	9.231723880405662	0.0
4.84	0.0	182.07013005909778	633.3135606190856	641.1420333201995	639.1500150462522	665.4581364712169	642.8616302946662	622.8567636837375	616.3753355186309	599.1305186891484	603.2004731316965	632.5125824817095	651.4335036622327	639.9719634562903	631.4166473529618	700.4767489260141	611.5549277062612	685.9209116875234	697.9653314791783	415.72388586669285	5.879973260229562	0.0
4.83	0.0	188.83305212026374	618.8560119953398	656.9229173341179	622.5572366119329	617.9291225400297	646.6034691349168	636.68945080218	662.4709039985054	575.5395671791695	610.2340283681868	660.3445606795623	615.1468749689501	631.7268474985609	590.7407215834053	641.5352388939242	672.3117522807449	659.1522957017672	727.0732814193717	424.7522868438267	6.4374982207737474	0.0
4.82	0.0	177.37407806506351	580.2613081241974	569.6449419477389	634.7999667909414	617.0670033052007	636.8695163500158	649.2946621961406	638.1099390050141	614.536447354003	559.6208640806708	589.2076102718465	606.5001558368934	625.0225500732638	670.7515642818568	676.3589290798215	629.8587910508312	721.1359009178409	688.367438656183	446.22198480563435	8.944192315099832	0.0
4.81	0.0	166.55259256505371	571.5384922909964	634.7568492293884	627.9514777493974	652.282920312592	640.890583795373	640.4558381542095	661.9091306943792	619.6419209949365	561.5836507189125	629.2765150848991	627.4155724349815	644.6986869936388	671.6679713482183	629.3190775377886	655.3583298623585	691.8525647062265	725.5926177475436	441.48067034476117	7.732032803235954	0.0
4.8	0.0	172.75442246704216	590.9633294505569	663.6349565060242	616.7184107849396	627.5770681336469	607.140618990256	666.0715608550661	626.1249039119759	571.5137105036431	571.1563866616003	639.6294179824108	632.6707318974022	615.2057509458862	659.9375913243334	677.4089327287886	628.9238745518464	688.6039709444938	705.9748800263147	439.96907657862823	10.45834455767432	0.0
4.79	0.0	201.41305747428635	619.5964206720427	654.1987910775172	648.6010299459817	597.843360283985	631.2102070038419	621.2022266041156	676.6486837477592	628.8966064591482	611.7168390978895	592.1136159945027	578.4355316302931	635.6499531987952	645.6986005398993	682.9091146592324	648.1236692410416	741.7085714056511	700.0914072370409	414.80522318073287	3.0275538861243154	0.0
4.78	0.0	192.54468643003133	586.7351874066112	630.6027483232283	670.0651634526457	696.068902367595	649.7539302152022	649.0331821105835	637.573757322806	626.8077882838135	606.9116691181973	613.3110683694558	587.2808127499035	649.6419382133475	643.6899644570349	606.3946075314828	634.5263993060142	700.9734744218608	721.5945562113361	433.6952428881691	3.6141936366409535	0.0
4.77	0.0	192.58212052656074	581.5974324049114	592.9671656211547	635.0603224457643	662.9718287324915	658.4791172611928	664.5579273722686	649.4559470081662	622.6880360492524	614.9016677690689	636.7634690546155	625.3519524502824	615.5207526660357	637.1580584693396	598.1269200368686	650.4971619378164	701.7388065366084	729.4889335920948	468.81883778550144	4.475857902270879	0.0
4.76	0.0	203.03559370866716	587.6250509973067	617.4414547834386	575.0148619995613	637.7154777966194	626.1055179229394	705.854967344636	649.3099163543424	647.0352767435693	584.6266878128009	611.4740949256839	632.7064423532181	641.927117905646	649.7050085454865	634.5887578158911	630.0343380145418	760.1054302611934	731.8506951241094	450.8511188926452	10.872456071662388	0.0
4.75	0.0	194.0042858885328	596.816655343305	623.0192698260212	607.858697928008	652.3619365714395	669.4879340564346	655.2547452451674	668.8612403975013	628.9429717619171	596.3022864355046	532.9200292728602	641.2788449901958	601.138938302692	675.8322937462914	659.4346333793837	649.9074802630964	771.8382263273064	683.2956387003804	416.74411352829026	7.2516023964076926	0.0
4.74	0.0	211.49270569479535	600.4001550744695	638.091735862564	621.7094573630472	646.678096258163	641.871445547268	651.2638384168793	674.5178735862737	633.7117327855035	568.6341774152199	608.6598050041014	599.4078339606688	718.163640862373	646.5676518537309	619.3463874069389	651.6820654815889	741.7016262232728	709.9520166974926	427.6988438332902	4.76373458919341	0.0
4.73	0.0	201.0115752325677	581.324623357182	605.5907133042673	634.0111000212559	675.7510677722989	633.9860023986796	645.1039543620931	655.9220045128229	657.2338035496396	591.1384647520406	614.37772809323	584.1557845856322	663.4040441909569	663.5778546819736	662.6515358240547	660.7242089912509	730.2613636364016	742.4742752470161	466.7301749390835	4.850049960285186	0.0
4.72	0.0	221.34060044947338	569.9037979712311	624.9334740238322	638.2172536013253	636.4144772196252	643.1090782726623	631.0820013349928	679.5058378841123	624.5572640120658	618.9794038480147	592.843256309625	589.5283186109247	629.1050875840409	631.4142989796874	673.62383816621	671.7987459718247	768.8364158714138	750.3577676769123	459.8689885561214	12.432795690100756	0.0
4.71	0.0	208.10789164948955	591.4315381466066	600.0567673987039	643.139377649686	669.5404515941868	670.9657181805554	671.3990061661302	625.2644512706044	662.8013825970284	657.419429432609	580.5137244725295	640.3172272034434	604.8655289256285	625.9501360473978	652.0238527349048	662.3244301833175	779.9470317033567	724.0223397547074	474.79430036258117	5.222750869229694	0.0
4.7	0.0	190.24525520426286	608.6470435689234	620.0484437223885	627.9038070192172	660.2034048544917	671.8444062048027	625.4658289652061	687.3139974466728	667.2759250484563	625.1397185763385	641.7895921661895	621.0403748213091	620.8331235039643	650.1594032519494	687.5282240745869	651.4609663158775	758.8269798929399	761.3999677907061	448.51576388653245	5.7290666892817494	0.0
4.69	0.0	192.25634471888173	605.1009955489212	626.0494753730545	653.3707255405467	588.4817447979474	675.4635343806965	634.3214129594618	655.0999521235889	584.993905137791	629.146646780385	618.7429689349627	634.1550608270203	619.6087778668259	657.0537404851391	703.6246148197588	670.1199168348364	711.4030511630904	725.9459145999291	454.5733874001544	4.496670721754341	0.0
4.68	0.0	224.31460928810912	619.4481941769839	603.7139354348413	670.4572396850393	609.2413299768618	628.8845051744498	658.3225939097513	637.0499145797393	640.7011818533099	622.7390080091049	620.9026093170241	613.8337673425779	570.0504247245732	602.4802294518931	689.9219546656402	648.4940580513532	714.6077036986936	739.8283886948019	446.0381003814173	14.346572008440305	0.0
4.67	0.0	202.9224067944868	629.0176854500173	631.2739564493249	699.4012932440315	568.6390222168798	567.9105028128372	650.7959472032538	648.0115442667633	642.9117490626405	607.714119669059	597.7888551421336	626.4357707624307	630.8992650190337	666.262749290759	631.8245308913154	688.3789652917965	798.497818149885	737.0733580455451	433.94122293345896	13.463523422148489	0.0
