
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_EF_Offset.txt
Total Actual Scans	10
X Label	Binding Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	-0.0
X Max	5.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
EF_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
5.0	0.0	-400.0	-669.2741062272189	-845.9587456461375	-1255.5940508735573	-1674.3166541469186	-2004.2644278274531	-2443.428879419275	-2835.082856496624	-3225.542147697623	-3643.640625456913	-4032.357845480569	-4423.118514171152	-4869.052358572325	-5235.733796176751	-5639.322252614543	-6056.795630412729	-6455.999522580207	-6874.189628561051	-7239.649502369361	-7646.473134489422	-8035.137594708914	-8423.690393574176	-8834.666277900817	-9193.288962879948	-9671.143458110495	-10050.076681411829	-10397.968798609554	-10816.442478230772	-11182.81234659722	-11581.857487738003	-12035.444194913578	-12441.316677618155	-12808.554096334696	-13233.56180304069	-13881.734086147166	-14389.152235030313	-14800.0	-15200.0	-15600.0
4.99	0.0	-400.0	-623.3269235477602	-856.5635927395164	-1276.6226689475852	-1683.9111162926383	-2054.987145686343	-2465.2225130277498	-2828.1931059460294	-3233.487542673862	-3621.5481589192514	-4043.0779872889025	-4405.258544250734	-4826.061548969691	-5227.019582439023	-5646.796159825563	-6078.266237113961	-6468.247642165258	-6850.251987899494	-7238.0104780712045	-7659.976381931502	-8043.124487584561	-8436.136409152057	-8855.852428029	-9279.855896846595	-9691.573550772224	-10062.033003176826	-10461.382939892674	-10847.63675652497	-11231.525424928743	-11602.9344095679	-11980.808835277296	-12441.717069573275	-12781.54185769732	-13215.871637021977	-13887.401997512581	-14397.938610965584	-14800.0	-15200.0	-15600.0
4.98	0.0	-400.0	-666.0472222670608	-863.8906291041776	-1239.3841966547052	-1655.7237427820953	-2049.295380609044	-2405.415198625617	-2831.1232487092325	-3232.2500422143416	-3658.184744104237	-4034.0428893213834	-4426.780696156347	-4822.01956450382	-5236.947968949113	-5657.72577116196	-6060.65135658589	-6476.124272202893	-6820.137881934764	-7279.099352032266	-7647.149063573809	-8048.652760659856	-8408.350079199383	-8863.85404890126	-9268.8661433139	-9659.535243118666	-10072.088165142764	-10395.952152239232	-10818.771529184423	-11205.377107700855	-11571.883179405866	-12033.653363598247	-12430.477083097905	-12782.829566153043	-13231.373179291935	-13904.823618229924	-14392.055701556015	-14800.0	-15200.0	-15600.0
4.97	0.0	-400.0	-668.124705260348	-878.8413886381317	-1207.6865084364374	-1635.1826679881106	-2015.2406498482235	-2425.4755271679055	-2858.15838853973	-3255.753191684717	-3633.0365847384674	-4045.5422509392192	-4444.677552236149	-4845.136597551642	-5242.629186991883	-5592.5199414690205	-6014.47164153048	-6456.698884165401	-6870.814529787703	-7252.443330108728	-7648.933652484632	-8067.021521863133	-8445.836811187502	-8835.495465472826	-9279.65520317217	-9655.726813849777	-10042.458739480042	-10411.927502955978	-10853.371555200687	-11254.768347052512	-11621.715374730064	-12023.574068224041	-12403.787843935163	-12802.063317667427	-13242.414162141173	-13911.88418931444	-14395.058562438811	-14800.0	-15200.0	-15600.0
4.96	0.0	-400.0	-632.3852892078482	-910.2515253266467	-1267.253672657552	-1663.8601394676589	-2082.441420082547	-2462.5862837761956	-2837.889403798099	-3199.289708011566	-3667.0400338253166	-4048.356070555152	-4422.183983529317	-4812.365928748992	-5194.618920700932	-5637.4248124740125	-6061.916532505394	-6406.544343393438	-6833.469755926466	-7266.097745241964	-7661.1191524382675	-8030.75865360852	-8455.574034667383	-8807.980935250094	-9230.66278841109	-9638.36364829952	-10036.52039064171	-10429.143509337158	-10847.659297980077	-11245.218570407858	-11614.149739276703	-12015.041367320935	-12382.300918801824	-12784.034296178552	-13224.45778344046	-13894.74843898345	-14393.091303553634	-14800.0	-15200.0	-15600.0
4.95	0.0	-400.0	-653.723798866755	-855.2561868198372	-1229.698156535646	-1633.411866269729	-2062.2932108002587	-2435.237730179449	-2830.954547848114	-3209.6115846274247	-3629.758769356567	-4052.147325241257	-4453.436096984157	-4840.277215225366	-5237.58599004045	-5668.1691550638825	-6061.955590260719	-6465.94391912233	-6853.178567217005	-7272.721548491577	-7637.549597671111	-8020.164537113879	-8444.17980611839	-8822.332754923988	-9258.622823378057	-9632.739538098704	-10054.010521771646	-10378.796383641988	-10845.934234469672	-11255.344471713575	-11647.491180741024	-12007.419508892492	-12377.329617266992	-12837.50700861581	-13241.109141873781	-13887.710722418105	-14395.221169035376	-14800.0	-15200.0	-15600.0
4.94	0.0	-400.0	-645.1094802188359	-876.1243461616183	-1230.6124435525792	-1647.8130198870572	-2028.9975468374864	-2464.6901005998707	-2845.887159861325	-3258.635442247876	-3630.1048594798017	-4050.058074750428	-4413.518003069092	-4846.6274910569355	-5208.343461385993	-5642.173356876618	-6055.632471008386	-6489.961100181605	-6846.078770337616	-7267.415132456712	-7619.693235249187	-8048.020504285413	-8453.888869913812	-8836.299359380202	-9244.63203599367	-9660.321204612426	-10079.928754450404	-10429.02835096018	-10814.781845076062	-11212.445235415136	-11651.59816385894	-12025.181036059887	-12365.362674100847	-12817.750100741112	-13224.080202911133	-13888.547846587917	-14395.195345693737	-14800.0	-15200.0	-15600.0
4.93	0.0	-400.0	-655.0976267329956	-881.128821597795	-1272.137417291173	-1675.6912097597453	-2082.373840576011	-2429.973947473008	-2856.099554497777	-3244.9013460456554	-3639.680705773748	-4050.1335655557637	-4445.4460137636615	-4827.184632156512	-5224.764544184644	-5659.751853333592	-6051.601852019878	-6462.304748081052	-6890.8401880102665	-7248.801773799099	-7661.80578235183	-8065.058999148325	-8482.752675694705	-8841.067045189313	-9261.481211492051	-9640.294989328679	-10000.517076703532	-10446.523397090405	-10796.195827068721	-11250.531692241573	-11618.265502910637	-11994.427613066024	-12420.475517383455	-12813.545175880314	-13227.34097414845	-13859.600941027535	-14392.04699483021	-14800.0	-15200.0	-15600.0
4.92	0.0	-400.0	-667.2837659033507	-884.5092116315091	-1277.9079434294745	-1610.056180833314	-2069.3395511208664	-2452.8375129727297	-2842.095211738643	-3219.295750024262	-3652.158601203567	-4041.3380332164597	-4429.834290801996	-4831.253642101025	-5256.843044329457	-5615.195104041642	-6043.511755596734	-6465.65062608088	-6876.7095658760045	-7265.7456517027695	-7645.157521862468	-8046.401909174452	-8442.983087312346	-8851.102364281469	-9250.342554839288	-9600.788779866705	-10043.713206748005	-10445.935942111213	-10848.118777067262	-11222.132707473424	-11633.04234608615	-12003.385388251569	-12391.288866460942	-12784.70725906645	-13224.299902943047	-13877.033299356315	-14392.852360884313	-14800.0	-15200.0	-15600.0
4.91	0.0	-400.0	-661.9317886751072	-859.1806321761906	-1276.6634920295983	-1611.8999119738646	-2050.2358146479137	-2453.581007102215	-2838.6679802553685	-3232.2075710874587	-3698.3374688871827	-4047.7624283000723	-4442.8872863754095	-4800.896270154108	-5244.778299657798	-5648.274887457977	-6079.343372357976	-6478.2938149116735	-6894.429766312433	-7241.781829326806	-7632.43186844095	-8046.095757649776	-8446.507882923226	-8843.919929735936	-9270.548020697977	-9608.672682857099	-10050.32590056583	-10429.697600958618	-10808.228912582483	-11232.197626469662	-11663.762486157193	-11998.233854220716	-12398.832029551368	-12808.270178666564	-13222.320981838353	-13875.554638631253	-14391.35433114491	-14800.0	-15200.0	-15600.0
