
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_Ek.txt
Total Actual Scans	10
X Label	Kinetic Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	12.0
X Max	17.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -400.0 -800.0 -1200.0 -1600.0 -2000.0 -2400.0 -2800.0 -3200.0 -3600.0 -4000.0 -4400.0 -4800.0 -5200.0 -5600.0 -6000.0 -6400.0 -6800.0 -7200.0 -7600.0 -8000.0 -8400.0 -8800.0 -9200.0 -9600.0 -10000.0 -10400.0 -10800.0 -11200.0 -11600.0 -12000.0 -12400.0 -12800.0 -13200.0 -13600.0 -14000.0 -14400.0 -14800.0 -15200.0 -15600.0
 
DATA:
Ek_Si0006_EDCs	Si0006_EDCs_0.483	Si0006_EDCs_0.453	Si0006_EDCs_0.422	Si0006_EDCs_0.392	Si0006_EDCs_0.362	Si0006_EDCs_0.332	Si0006_EDCs_0.302	Si0006_EDCs_0.272	Si0006_EDCs_0.242	Si0006_EDCs_0.212	Si0006_EDCs_0.182	Si0006_EDCs_0.151	Si0006_EDCs_0.121	Si0006_EDCs_0.091	Si0006_EDCs_0.061	Si0006_EDCs_0.031	Si0006_EDCs_0.001	Si0006_EDCs_-0.029	Si0006_EDCs_-0.059	Si0006_EDCs_-0.089	Si0006_EDCs_-0.12	Si0006_EDCs_-0.15	Si0006_EDCs_-0.18	Si0006_EDCs_-0.21	Si0006_EDCs_-0.24	Si0006_EDCs_-0.27	Si0006_EDCs_-0.3	Si0006_EDCs_-0.33	Si0006_EDCs_-0.361	Si0006_EDCs_-0.391	Si0006_EDCs_-0.421	Si0006_EDCs_-0.451	Si0006_EDCs_-0.481	Si0006_EDCs_-0.511	Si0006_EDCs_-0.541	Si0006_EDCs_-0.571	Si0006_EDCs_-0.601	Si0006_EDCs_-0.632	Si0006_EDCs_-0.662	Si0006_EDCs_-0.692
12.0	0.0	0.0	130.7258937727811	354.0412543538625	344.40594912644275	325.68334585308145	395.7355721725469	356.571120580725	364.917143503376	374.45785230237686	356.3593745430873	367.64215451943113	376.88148582884776	330.9476414276752	364.2662038232496	360.6777473854575	343.20436958727066	344.0004774197937	325.8103714389487	360.35049763063955	353.52686551057866	364.86240529108613	376.3096064258246	365.33372209918406	406.7110371200533	328.8565418895052	349.92331858817175	402.03120139044614	383.55752176922687	417.18765340277923	418.1425122619966	364.55580508642225	358.6833223818451	391.44590366530485	366.4381969593113	118.26591385283415	10.847764969686745	0.0	0.0	0.0
12.01	0.0	0.0	176.67307645223983	343.43640726048363	323.37733105241466	316.08888370736173	345.0128543136571	334.77748697225036	371.8068940539707	366.5124573261378	378.45184108074875	356.92201271109735	394.7414557492658	373.9384510303088	372.9804175609769	353.2038401744369	321.7337628860387	331.752357834742	349.7480121005055	361.98952192879557	340.02361806849797	356.87551241543827	363.8635908479421	344.147571970999	320.14410315340575	308.4264492277757	337.966996823174	338.61706010732615	352.36324347503006	368.4745750712571	397.06559043209853	419.19116472270406	358.2829304267249	418.4581423026798	384.12836297802363	112.59800248741931	2.061389034416289	0.0	0.0	0.0
12.02	0.0	0.0	133.9527777329393	336.1093708958224	360.6158033452948	344.2762572179047	350.704619390956	394.58480137438283	368.8767512907674	367.74995778565824	341.81525589576313	365.95711067861646	373.2193038436524	377.9804354961795	363.05203105088714	342.2742288380398	339.34864341410935	323.87572779710723	379.862118065236	320.9006479677334	352.85093642619125	351.3472393401447	391.64992080061705	336.14595109874057	331.1338566860998	340.4647568813349	327.91183485723565	404.0478477607679	381.228470815576	394.6228922991455	428.1168205941344	366.3466364017539	369.5229169020953	417.1704338469571	368.6268207080648	95.17638177007663	7.944298443984476	0.0	0.0	0.0
12.03	0.0	0.0	131.87529473965202	321.15861136186834	392.31349156356254	364.81733201188933	384.7593501517765	374.52447283209466	341.8416114602699	344.2468083152831	366.96341526153276	354.4577490607807	355.32244776385124	354.86340244835765	357.3708130081167	407.48005853097976	385.52835846951956	343.30111583459905	329.18547021229745	347.5566698912719	351.0663475153675	332.9784781368672	354.16318881249776	364.5045345271744	320.3447968278308	344.27318615022295	357.5412605199584	388.0724970440224	346.62844479931346	345.23165294748924	378.28462526993724	376.4259317759594	396.21215606483815	397.93668233257256	357.5858378588265	88.11581068555977	4.941437561187794	0.0	0.0	0.0
12.04	0.0	0.0	167.6147107921517	289.7484746733532	332.74632734244807	336.1398605323411	317.55857991745285	337.41371622380444	362.11059620190093	400.71029198843405	332.95996617468313	351.6439294448477	377.8160164706836	387.6340712510078	405.3810792990682	362.57518752598753	338.0834674946066	393.45565660656246	366.53024407353405	333.90225475803607	338.8808475617324	369.24134639147996	344.4259653326166	392.0190647499061	369.3372115889109	361.6363517004795	363.47960935828985	370.8564906628424	352.34070201992375	354.7814295921421	385.85026072329725	384.9586326790654	417.69908119817666	415.96570382144796	375.5422165595398	105.25156101655061	6.908696446366441	0.0	0.0	0.0
12.05	0.0	0.0	146.27620113324497	344.7438131801628	370.3018434643541	366.58813373027095	337.70678919974137	364.7622698205508	369.04545215188597	390.38841537257537	370.24123064343297	347.85267475874286	346.56390301584275	359.7227847746342	362.4140099595502	331.8308449361174	338.0444097392808	334.0560808776698	346.8214327829949	327.27845150842336	362.45040232888914	379.8354628861209	355.82019388160967	377.6672450760134	341.3771766219437	367.26046190129614	345.9894782283535	421.20361635801265	354.0657655303271	344.6555282864242	352.5088192589759	392.58049110750795	422.67038273300767	362.49299138419036	358.89085812621784	112.28927758189508	4.778830964624502	0.0	0.0	0.0
12.06	0.0	0.0	154.89051978116413	323.8756538383817	369.3875564474208	352.18698011294276	371.0024531625136	335.3098994001292	354.11284013867487	341.364557752124	369.8951405201984	349.941925249572	386.48199693090805	353.37250894306413	391.65653861400756	357.8266431233827	344.3675289916136	310.03889981839563	353.92122966238367	332.5848675432884	380.30676475081367	351.9794957145868	346.11113008618923	363.700640619797	355.3679640063288	339.6787953875735	320.071245549595	370.9716490398205	385.21815492393677	387.5547645848636	348.40183614105933	374.8189639401128	434.6373258991532	382.2498992588886	375.91979708886646	111.45215341208308	4.80465430626316	0.0	0.0	0.0
12.07	0.0	0.0	144.9023732670043	318.87117840220503	327.862582708827	324.3087902402547	317.6261594239891	370.026052526992	343.9004455022232	355.09865395434485	360.31929422625205	349.86643444423623	354.5539862363386	372.8153678434884	375.23545581535603	340.2481466664079	348.398147980122	337.69525191894814	309.1598119897338	351.19822620090156	338.19421764816974	334.9410008516755	317.2473243052964	358.93295481068697	338.5187885079487	359.7050106713219	399.482923296468	353.4766029095951	403.8041729312785	349.4683077584269	381.73449708936323	405.57238693397545	379.524482616545	386.45482411968663	372.65902585154925	140.39905897246575	7.953005169789952	0.0	0.0	0.0
12.08	0.0	0.0	132.7162340966492	315.49078836849094	322.0920565705256	389.9438191666859	330.6604488791338	347.16248702727023	357.90478826135706	380.7042499757382	347.8413987964333	358.66196678354027	370.16570919800444	368.74635789897417	343.1569556705423	384.8048959583585	356.488244403266	334.3493739191198	323.2904341239953	334.25434829723054	354.8424781375329	353.5980908255474	357.0169126876531	348.8976357185308	349.6574451607125	399.21122013329534	356.286793251994	354.06405788878675	351.8812229327378	377.8672925265758	366.9576539138498	396.61461174843055	408.7111335390584	415.2927409335491	375.7000970569531	122.96670064368404	7.147639115687065	0.0	0.0	0.0
12.09	0.0	0.0	138.06821132489281	340.81936782380944	323.33650797040184	388.10008802613544	349.7641853520865	346.418992897785	361.33201974463145	367.7924289125414	301.66253111281753	352.2375716999278	357.1127136245903	399.10372984589253	355.22170034220227	351.7251125420237	320.6566276420241	321.70618508832683	305.5702336875679	358.21817067319483	367.56813155904996	353.9042423502241	353.4921170767744	356.08007026406455	329.4519793020235	391.3273171429012	349.67409943417	370.3023990413817	391.7710874175181	367.80237353033834	336.2375138428077	401.7661457792835	401.16797044863284	391.7298213334368	377.679018161647	124.44536136874662	8.645668855088935	0.0	0.0	0.0
