
[SpecTaroscoPy — PES image]
Author	R Nakazawa
Contact	nakazawa@ims.ac.jp
Version	6.5.3
--- Info ---
User	
Load File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/Si0006.txt
Save File Path	/Users/ryotaro/Documents/実験データ/SpecTaroscoPy/SpecTaroscoPy/examples/DA30/STPy_6_5_3_PESImage/Si0006_EDCs_Ek_Offset.txt
Total Actual Scans	10
X Label	Kinetic Energy (eV)
Y Label	$k_{\parallel} \ \mathrm{(\AA^{-1})}$
Z Label	Intensity (cps)
X Min	12.0
X Max	17.0
X Step	0.01
Ek Offset	0.0
Y Min	-0.730764
Y Max	0.498633
Y Step	0.001774
Ang or Posi Offset	-3.0
MCP Function Path	None
--- Axis Conversion ---
Photon Energy	None
Applied Voltage	0.0
kinetic Energy at Fermi Level	17.0
Secondary Electron Cutoff	None
--- EDCs Stacking ---
Y Slice Center	0.48269 0.4525755 0.4224605 0.3923455 0.3622305 0.3321155 0.302001 0.271886 0.241771 0.211656 0.181541 0.151426 0.121311 0.0911965 0.0610815 0.0309665 0.0008515 -0.0292635 -0.059378 -0.089493 -0.119608 -0.149723 -0.179838 -0.209953 -0.240068 -0.2701825 -0.3002975 -0.3304125 -0.3605275 -0.3906425 -0.420757 -0.450872 -0.480987 -0.511102 -0.541217 -0.571332 -0.601447 -0.6315615 -0.6616765 -0.6917915
Z Offset EDCs	0.0 -300.0 -600.0 -900.0 -1200.0 -1500.0 -1800.0 -2100.0 -2400.0 -2700.0 -3000.0 -3300.0 -3600.0 -3900.0 -4200.0 -4500.0 -4800.0 -5100.0 -5400.0 -5700.0 -6000.0 -6300.0 -6600.0 -6900.0 -7200.0 -7500.0 -7800.0 -8100.0 -8400.0 -8700.0 -9000.0 -9300.0 -9600.0 -9900.0 -10200.0 -10500.0 -10800.0 -11100.0 -11400.0 -11700.0
 
DATA:
Ek_Si0006_EDCs	Si0006_EDCs_0.483_Offseted	Si0006_EDCs_0.453_Offseted	Si0006_EDCs_0.422_Offseted	Si0006_EDCs_0.392_Offseted	Si0006_EDCs_0.362_Offseted	Si0006_EDCs_0.332_Offseted	Si0006_EDCs_0.302_Offseted	Si0006_EDCs_0.272_Offseted	Si0006_EDCs_0.242_Offseted	Si0006_EDCs_0.212_Offseted	Si0006_EDCs_0.182_Offseted	Si0006_EDCs_0.151_Offseted	Si0006_EDCs_0.121_Offseted	Si0006_EDCs_0.091_Offseted	Si0006_EDCs_0.061_Offseted	Si0006_EDCs_0.031_Offseted	Si0006_EDCs_0.001_Offseted	Si0006_EDCs_-0.029_Offseted	Si0006_EDCs_-0.059_Offseted	Si0006_EDCs_-0.089_Offseted	Si0006_EDCs_-0.12_Offseted	Si0006_EDCs_-0.15_Offseted	Si0006_EDCs_-0.18_Offseted	Si0006_EDCs_-0.21_Offseted	Si0006_EDCs_-0.24_Offseted	Si0006_EDCs_-0.27_Offseted	Si0006_EDCs_-0.3_Offseted	Si0006_EDCs_-0.33_Offseted	Si0006_EDCs_-0.361_Offseted	Si0006_EDCs_-0.391_Offseted	Si0006_EDCs_-0.421_Offseted	Si0006_EDCs_-0.451_Offseted	Si0006_EDCs_-0.481_Offseted	Si0006_EDCs_-0.511_Offseted	Si0006_EDCs_-0.541_Offseted	Si0006_EDCs_-0.571_Offseted	Si0006_EDCs_-0.601_Offseted	Si0006_EDCs_-0.632_Offseted	Si0006_EDCs_-0.662_Offseted	Si0006_EDCs_-0.692_Offseted
12.0	0.0	-300.0	-469.2741062272189	-545.9587456461375	-855.5940508735573	-1174.3166541469186	-1404.2644278274531	-1743.428879419275	-2035.0828564966241	-2325.542147697623	-2643.640625456913	-2932.357845480569	-3223.118514171152	-3569.052358572325	-3835.7337961767503	-4139.322252614543	-4456.795630412729	-4755.999522580207	-5074.189628561051	-5339.649502369361	-5646.473134489422	-5935.137594708914	-6223.690393574176	-6534.666277900816	-6793.288962879947	-7171.143458110495	-7450.076681411828	-7697.968798609554	-8016.442478230773	-8282.81234659722	-8581.857487738003	-8935.444194913578	-9241.316677618155	-9508.554096334696	-9833.56180304069	-10381.734086147166	-10789.152235030313	-11100.0	-11400.0	-11700.0
12.01	0.0	-300.0	-423.3269235477602	-556.5635927395164	-876.6226689475853	-1183.9111162926383	-1454.987145686343	-1765.2225130277498	-2028.1931059460294	-2333.487542673862	-2621.5481589192514	-2943.0779872889025	-3205.2585442507343	-3526.061548969691	-3827.019582439023	-4146.796159825563	-4478.266237113961	-4768.247642165258	-5050.251987899494	-5338.0104780712045	-5659.976381931502	-5943.124487584561	-6236.136409152058	-6555.852428029001	-6879.855896846594	-7191.573550772224	-7462.033003176826	-7761.382939892674	-8047.63675652497	-8331.525424928743	-8602.9344095679	-8880.808835277296	-9241.717069573275	-9481.54185769732	-9815.871637021977	-10387.401997512581	-10797.938610965584	-11100.0	-11400.0	-11700.0
12.02	0.0	-300.0	-466.0472222670607	-563.8906291041776	-839.3841966547052	-1155.7237427820953	-1449.295380609044	-1705.4151986256172	-2031.1232487092325	-2332.2500422143416	-2658.184744104237	-2934.0428893213834	-3226.7806961563474	-3522.0195645038207	-3836.9479689491127	-4157.72577116196	-4460.65135658589	-4776.124272202893	-5020.137881934764	-5379.099352032266	-5647.149063573809	-5948.652760659856	-6208.350079199383	-6563.854048901259	-6868.8661433139005	-7159.535243118665	-7472.088165142764	-7695.952152239232	-8018.771529184424	-8305.377107700855	-8571.883179405866	-8933.653363598247	-9230.477083097905	-9482.829566153043	-9831.373179291935	-10404.823618229924	-10792.055701556015	-11100.0	-11400.0	-11700.0
12.03	0.0	-300.0	-468.124705260348	-578.8413886381317	-807.6865084364374	-1135.1826679881106	-1415.2406498482235	-1725.4755271679053	-2058.15838853973	-2355.753191684717	-2633.0365847384674	-2945.5422509392192	-3244.6775522361486	-3545.1365975516424	-3842.629186991883	-4092.51994146902	-4414.47164153048	-4756.698884165401	-5070.814529787703	-5352.443330108728	-5648.933652484632	-5967.021521863133	-6245.8368111875025	-6535.495465472825	-6879.655203172169	-7155.726813849777	-7442.458739480042	-7711.927502955978	-8053.371555200687	-8354.768347052512	-8621.715374730064	-8923.574068224041	-9203.787843935163	-9502.063317667427	-9842.414162141173	-10411.88418931444	-10795.058562438811	-11100.0	-11400.0	-11700.0
12.04	0.0	-300.0	-432.3852892078483	-610.2515253266467	-867.253672657552	-1163.8601394676589	-1482.4414200825472	-1762.5862837761956	-2037.889403798099	-2299.289708011566	-2667.0400338253166	-2948.356070555152	-3222.1839835293163	-3512.3659287489922	-3794.618920700932	-4137.4248124740125	-4461.916532505394	-4706.544343393438	-5033.469755926466	-5366.097745241964	-5661.1191524382675	-5930.75865360852	-6255.574034667384	-6507.980935250094	-6830.662788411089	-7138.363648299521	-7436.52039064171	-7729.143509337157	-8047.659297980076	-8345.218570407858	-8614.149739276703	-8915.041367320935	-9182.300918801824	-9484.034296178552	-9824.45778344046	-10394.74843898345	-10793.091303553634	-11100.0	-11400.0	-11700.0
12.05	0.0	-300.0	-453.72379886675503	-555.2561868198372	-829.6981565356459	-1133.411866269729	-1462.2932108002587	-1735.2377301794493	-2030.954547848114	-2309.6115846274247	-2629.758769356567	-2952.147325241257	-3253.4360969841573	-3540.2772152253656	-3837.58599004045	-4168.1691550638825	-4461.955590260719	-4765.94391912233	-5053.178567217005	-5372.721548491577	-5637.549597671111	-5920.164537113879	-6244.17980611839	-6522.332754923987	-6858.622823378057	-7132.739538098704	-7454.010521771646	-7678.796383641988	-8045.934234469672	-8355.344471713575	-8647.491180741024	-8907.419508892492	-9177.329617266992	-9537.50700861581	-9841.109141873781	-10387.710722418105	-10795.221169035376	-11100.0	-11400.0	-11700.0
12.06	0.0	-300.0	-445.10948021883587	-576.1243461616183	-830.6124435525792	-1147.8130198870572	-1428.9975468374864	-1764.6901005998707	-2045.887159861325	-2358.635442247876	-2630.1048594798017	-2950.058074750428	-3213.5180030690917	-3546.627491056936	-3808.3434613859927	-4142.173356876618	-4455.632471008386	-4789.961100181605	-5046.078770337616	-5367.415132456712	-5619.693235249187	-5948.020504285413	-6253.888869913811	-6536.299359380203	-6844.632035993671	-7160.321204612426	-7479.928754450405	-7729.0283509601795	-8014.781845076063	-8312.445235415136	-8651.59816385894	-8925.181036059887	-9165.362674100847	-9517.750100741112	-9824.080202911133	-10388.547846587917	-10795.195345693737	-11100.0	-11400.0	-11700.0
12.07	0.0	-300.0	-455.0976267329957	-581.128821597795	-872.137417291173	-1175.6912097597453	-1482.373840576011	-1729.9739474730081	-2056.099554497777	-2344.9013460456554	-2639.680705773748	-2950.1335655557637	-3245.4460137636615	-3527.1846321565117	-3824.764544184644	-4159.751853333592	-4451.601852019878	-4762.304748081052	-5090.8401880102665	-5348.801773799099	-5661.80578235183	-5965.058999148325	-6282.752675694704	-6541.067045189313	-6861.481211492051	-7140.294989328678	-7400.517076703532	-7746.523397090405	-7996.195827068722	-8350.531692241573	-8618.265502910637	-8894.427613066024	-9220.475517383455	-9513.545175880314	-9827.34097414845	-10359.600941027535	-10792.04699483021	-11100.0	-11400.0	-11700.0
12.08	0.0	-300.0	-467.2837659033508	-584.5092116315091	-877.9079434294745	-1110.056180833314	-1469.3395511208662	-1752.8375129727297	-2042.095211738643	-2319.295750024262	-2652.158601203567	-2941.3380332164597	-3229.8342908019954	-3531.253642101026	-3856.843044329458	-4115.195104041642	-4443.511755596734	-4765.65062608088	-5076.7095658760045	-5365.7456517027695	-5645.157521862468	-5946.401909174452	-6242.9830873123465	-6551.102364281469	-6850.342554839288	-7100.788779866704	-7443.713206748006	-7745.935942111213	-8048.118777067262	-8322.132707473424	-8633.04234608615	-8903.385388251569	-9191.288866460942	-9484.70725906645	-9824.299902943047	-10377.033299356315	-10792.852360884313	-11100.0	-11400.0	-11700.0
12.09	0.0	-300.0	-461.9317886751072	-559.1806321761906	-876.6634920295982	-1111.8999119738646	-1450.2358146479135	-1753.581007102215	-2038.6679802553685	-2332.2075710874587	-2698.3374688871827	-2947.7624283000723	-3242.8872863754095	-3500.8962701541077	-3844.7782996577976	-4148.274887457977	-4479.343372357976	-4778.2938149116735	-5094.429766312433	-5341.781829326806	-5632.43186844095	-5946.095757649776	-6246.507882923225	-6543.9199297359355	-6870.548020697976	-7108.672682857099	-7450.32590056583	-7729.697600958618	-8008.228912582482	-8332.197626469662	-8663.762486157193	-8898.233854220716	-9198.832029551368	-9508.270178666564	-9822.320981838353	-10375.554638631253	-10791.35433114491	-11100.0	-11400.0	-11700.0
