x_raw,y_raw,,x_gauss,y_gauss
0.73,10.574735,,0.73,10.574735
0.74,10.2625,,0.74,10.2625
0.75,10.0625,,0.75,10.0625
0.76,10.43737,,0.76,10.43737
0.77,10.3373525,,0.77,10.3373525
0.78,10.58721,,0.78,10.58721
0.79,10.33722,,0.79,10.33722
0.8,10.137235,,0.8,10.137235
0.81,10.575,,0.81,10.575
0.82,10.2245776,,0.82,10.2245776
0.83,10.0875,,0.83,10.0875
0.84,10.0246575,,0.84,10.0246575
0.85,10.175,,0.85,10.175
0.86,10.4748925,,0.86,10.4748925
0.87,10.725,,0.87,10.725
0.88,10.3248925,,0.88,10.3248925
0.89,10.2247275,,0.89,10.2247275
0.9,9.5621175,,0.9,9.5621175
0.91,9.9124125,,0.91,9.9124125
0.92,11.1495501,,0.92,11.1495501
0.93,9.9248925,,0.93,9.9248925
0.94,10.3125,,0.94,10.3125
0.95,10.225,,0.95,10.225
0.96,9.9621675,,0.96,9.9621675
0.97,10.3247551,,0.97,10.3247551
0.98,10.8373675,,0.98,10.8373675
0.99,10.8994351,,0.99,10.8994351
1,10.67486,,1,10.67486
1.01,10.04976,,1.01,10.04976
1.02,10.6369876,,1.02,10.6369876
1.03,10.937225,,1.03,10.937225
1.04,11.28737,,1.04,11.28737
1.05,11.2872176,,1.05,11.2872176
1.06,11.537105,,1.06,11.537105
1.07,11.4371626,,1.07,11.4371626
1.08,10.7873675,,1.08,10.7873675
1.09,10.9748351,,1.09,10.9748351
1.1,11.08727,,1.1,11.08727
1.11,10.7873825,,1.11,10.7873825
1.12,11.14987,,1.12,11.14987
1.13,10.9,,1.13,10.9
1.14,11.599615,,1.14,11.599615
1.15,11.7623525,,1.15,11.7623525
1.16,11.4873825,,1.16,11.4873825
1.17,11.18735,,1.17,11.18735
1.18,11.8123575,,1.18,11.8123575
1.19,11.9875,,1.19,11.9875
1.2,11.875,,1.2,11.875
1.21,12.9998201,,1.21,12.9998201
1.22,12.5495051,,1.22,12.5495051
1.23,12.7375,,1.23,12.7375
1.24,12.6748575,,1.24,12.6748575
1.25,12.4618077,,1.25,12.4618077
1.26,12.8746801,,1.26,12.8746801
1.27,13.2621776,,1.27,13.2621776
1.28,13.3244802,,1.28,13.3244802
1.29,14.0748351,,1.29,14.0748351
1.3,13.5744827,,1.3,13.5744827
1.31,13.899845,,1.31,13.899845
1.32,14.8871101,,1.32,14.8871101
1.33,14.5369178,,1.33,14.5369178
1.34,15.6246001,,1.34,15.6246001
1.35,14.8625,,1.35,14.8625
1.36,16.22485,,1.36,16.22485
1.37,16.6997701,,1.37,16.6997701
1.38,16.9370501,,1.38,16.9370501
1.39,17.7745726,,1.39,17.7745726
1.4,18.7997726,,1.4,18.7997726
1.41,18.1872351,,1.41,18.1872351
1.42,17.675,,1.42,17.675
1.43,19.3248001,,1.43,19.3248001
1.44,19.7122801,,1.44,19.7122801
1.45,20.8622501,,1.45,20.8622501
1.46,21.2744226,,1.46,21.2744226
1.47,22.85,,1.47,22.85
1.48,22.9747126,,1.48,22.9747126
1.49,23.4494226,,1.49,23.4494226
1.5,23.3116227,,1.5,23.3116227
1.51,23.9237727,,1.51,23.9237727
1.52,26.5625,,1.52,26.5625
1.53,24.9746751,,1.53,24.9746751
1.54,25.9862052,,1.54,25.9862052
1.55,26.7,,1.55,26.7
1.56,27.2239527,,1.56,27.2239527
1.57,28.6363877,,1.57,28.6363877
1.58,29.3121251,,1.58,29.3121251
1.59,30.3609478,,1.59,30.3609478
1.6,30.4117326,,1.6,30.4117326
1.61,32.3870951,,1.61,32.3870951
1.62,33.0375,,1.62,33.0375
1.63,34.2120451,,1.63,34.2120451
1.64,33.2237352,,1.64,33.2237352
1.65,34.9732228,,1.65,34.9732228
1.66,34.4861927,,1.66,34.4861927
1.67,36.3375,,1.67,36.3375
1.68,35.8611502,,1.68,35.8611502
1.69,37.625,,1.69,37.625
1.7,38.7731154,,1.7,38.7731154
1.71,39.0244401,,1.71,39.0244401
1.72,40.4244576,,1.72,40.4244576
1.73,39.4865427,,1.73,39.4865427
1.74,43.2744651,,1.74,43.2744651
1.75,42.85,,1.75,42.85
1.76,42.425,,1.76,42.425
1.77,43.9233579,,1.77,43.9233579
1.78,45.9607454,,1.78,45.9607454
1.79,44.5982904,,1.79,44.5982904
1.8,45.3483079,,1.8,45.3483079
1.81,46.4988128,,1.81,46.4988128
1.82,46.9493301,,1.82,46.9493301
1.83,48.1375,,1.83,48.1375
1.84,49.6593881,,1.84,49.6593881
1.85,49.7112028,,1.85,49.7112028
1.86,51.6987503,,1.86,51.6987503
1.87,50.3118826,,1.87,50.3118826
1.88,53.0729354,,1.88,53.0729354
1.89,54.9111952,,1.89,54.9111952
1.9,55.5868151,,1.9,55.5868151
1.91,54.6611228,,1.91,54.6611228
