X_Au_ITO_7.7eV.17,Y_Au_ITO_7.7eV.17#1,Y_Au_ITO_7.7eV.17#2,Y_Au_ITO_7.7eV.17#3,Y_Au_ITO_7.7eV.17#4,Y_Au_ITO_7.7eV.17#5,Y_Au_ITO_7.7eV.17#6,Y_Au_ITO_7.7eV.17#7,Y_Au_ITO_7.7eV.17#8,Y_Au_ITO_7.7eV.17#9,Y_Au_ITO_7.7eV.17#10,Y_Au_ITO_7.7eV.17
12.59995,81.33333333,59.2,66.53333333,59.06666667,63.6,65.33333333,62,62,57.73333333,58,63.48
12.61902348,86.66666667,62.13333333,67.06666667,59.73333333,67.73333333,61.33333333,60.8,60.4,58.4,57.06666667,64.13333333
12.63809697,71.73333333,56.13333333,67.46666667,59.46666667,62.53333333,60.8,59.2,59.33333333,62,59.2,61.78666667
12.65717045,70,55.73333333,65.46666667,60,61.33333333,64.66666667,57.46666667,59.6,60.8,57.46666667,61.25333333
12.67624393,69.33333333,55.2,62.66666667,57.46666667,65.46666667,60.26666667,60.4,61.2,55.2,55.46666667,60.26666667
12.69531742,68.53333333,56.53333333,66.93333333,58.4,60.13333333,64.13333333,61.6,61.06666667,55.86666667,57.6,61.08
12.7143909,69.33333333,58.66666667,68.53333333,58.66666667,63.73333333,62.66666667,62,64.4,56.66666667,59.6,62.42666667
12.73346438,75.6,56.8,67.73333333,58.93333333,69.6,61.73333333,58.26666667,61.6,58.53333333,58.4,62.72
12.75253787,72.13333333,57.73333333,65.73333333,57.06666667,64.26666667,62,59.2,59.6,56.26666667,57.6,61.16
12.77161135,74.13333333,55.86666667,62.13333333,55.73333333,62.66666667,61.46666667,60.66666667,60.4,57.2,57.73333333,60.8
12.79068483,71.73333333,56.66666667,59.6,55.86666667,62.26666667,61.46666667,61.46666667,60.8,57.46666667,57.6,60.49333333
12.80975831,72.53333333,55.6,62.93333333,56,64,61.6,60.66666667,59.06666667,59.86666667,56.66666667,60.89333333
12.8288318,72,58,64.26666667,58.93333333,61.73333333,61.33333333,60.26666667,54.26666667,56.13333333,50.66666667,59.76
12.84790528,74,57.73333333,68.13333333,56.26666667,65.46666667,59.86666667,60.26666667,53.06666667,54.66666667,55.73333333,60.52
12.86697876,71.73333333,55.73333333,71.6,53.33333333,67.46666667,60.66666667,56.93333333,52.4,55.6,55.46666667,60.09333333
12.88605225,76,57.46666667,62.93333333,53.46666667,63.46666667,55.6,55.33333333,58.13333333,56.66666667,56.66666667,59.57333333
12.90512573,75.2,55.73333333,64.8,53.2,63.2,58.53333333,56,60.13333333,54,50.4,59.12
12.92419921,70.66666667,53.46666667,58.53333333,54.26666667,60.53333333,56.66666667,57.86666667,57.6,54.4,52.13333333,57.61333333
12.9432727,65.46666667,53.46666667,59.33333333,52.66666667,62.8,60.93333333,58.53333333,52.66666667,55.06666667,52.53333333,57.34666667
12.96234618,66.93333333,55.73333333,60.53333333,55.46666667,62.66666667,62,55.86666667,53.73333333,56.53333333,54.13333333,58.36
12.98141966,69.06666667,54,57.33333333,51.86666667,59.46666667,57.86666667,54.8,54.93333333,54.53333333,56.53333333,57.04
13.00049315,65.86666667,49.73333333,60.13333333,50.93333333,56.93333333,55.33333333,51.73333333,53.73333333,55.06666667,52.66666667,55.21333333
13.01956663,70.26666667,51.33333333,60.13333333,50.8,58.26666667,56.66666667,52.8,55.6,52.8,54.8,56.34666667
13.03864011,64.8,50.93333333,60.53333333,50.93333333,57.33333333,57.2,52.8,53.86666667,51.33333333,52.93333333,55.26666667
13.0577136,65.06666667,52.13333333,60.4,52.13333333,57.46666667,56.66666667,52.66666667,52.4,52.53333333,51.2,55.26666667
